Title,Group,Author,NXB,Quantity
Ai che lưng cho bạn,Kỹ năng sống,Keith Ferrazzi,NXB Trẻ,1
Khiến người khác thay đổi suy nghĩ,Kỹ năng sống,Rob Jolles,NXB Trẻ,1
Hẹn gặp trên đỉnh cao,Kỹ năng sống,Zig Ziglar,NXB Đà Nẵng,1
Bản lĩnh người làm giám đốc,Quản trị - Lãnh đạo,Nguyễn Duy,NXB Hồng Đức,1
Vị giám đốc một phút,Quản trị - Lãnh đạo,Ken Blanchard & Spencer Johnson,NXB Tổng hợp TPHCM,1
90 ngày đầu tiên làm sếp,Quản trị - Lãnh đạo,Michael Watkins,NXB Lao động - Xã hội,1
Nhà quản trị thành công,Quản trị - Lãnh đạo,Peter F. Druckers,NXB Lao động,1
Tứ thư lãnh đạo - Thuật quản trị,Quản trị - Lãnh đạo,Hòa Nhân,NXB Lao Động,1
Tứ thư lãnh đạo - Thuật xử thế,Quản trị - Lãnh đạo,Hòa Nhân,NXB Lao Động,1
Tứ thư lãnh đạo - Thuật lãnh đạo,Quản trị - Lãnh đạo,Hòa Nhân,NXB Lao Động,1
21 nguyên tắc vàng của nghệ thuật lãnh đạo,Quản trị - Lãnh đạo,John Maxwell,NXB Lao Động,2
21 nguyên tắc vàng của nghệ thuật lãnh đạo,Quản trị - Lãnh đạo,John Maxwell,NXB Lao Động,1
Nhà đào tạo sành sỏi,Quản trị - Lãnh đạo,Đỗ Huân,NXB Lao Động,1
Kim Cương trong mỏ vàng,Quản trị - Lãnh đạo,John C. Maxwell,NXB Lao Động - Xã Hội,1
Cuốn sách nhỏ cho nhà lãnh đạo lớn,Quản trị - Lãnh đạo,John C. Maxwell,NXB Lao Động - Xã Hội,1
"Bạn không thể đổi hướng gió, nhưng có thể điều khiển cánh buồm",Quản trị - Lãnh đạo,NIC Peeling,NXB Lao Động - Xã Hội,1
25 nghệ thuật đắc nhân tâm,Quản trị - Lãnh đạo,John C. Maxwell,NXB Lao Động - Xã Hội,1
Học từ vấp ngã để từng bước thành công,Quản trị - Lãnh đạo,John C. Maxwell,NXB Dân Trí,1
Tinh hoa lãnh đạo,Quản trị - Lãnh đạo,John C. Maxwell,NXB Lao Động,1
Nhà lãnh đạo 360⁰ - The 360⁰ Leader,Quản trị - Lãnh đạo,John C. Maxwell,NXB Lao Động,1
