Id,Start time,Completion time,Email,Name,TIÊU ĐỀ CỦA SÁCH?(Ví dụ: Nhà Giả Kim),TÊN TÁC GIẢ?(Ví dụ: Paulo Coelho),CHỦ ĐỀ?,NHÀ XUẤT BẢN?(Ví dụ: NXB văn học)
1,8/29/2025 13:18,8/29/2025 13:33,anonymous,,luyện cát thành vàng,Jonathan Yabut,Kỹ năng mềm,nxb hồng đức
2,8/29/2025 13:33,8/29/2025 13:34,anonymous,,luyện cát thành vàng,jonathan yabut,Kỹ năng mềm,nxb hồng đức
3,8/29/2025 13:18,8/29/2025 13:34,anonymous,,Bình tĩnh khi ế mạnh mẽ khi yêu,"Ellen fein, sherrie schneider",Tâm lý - Giáo dục,NXB phụ nữ
4,8/29/2025 13:34,8/29/2025 13:35,anonymous,,Thế giới phẳng,Thomas L.friedman,Lịch sử - Địa lý,Nhà xuất bản trẻ
5,8/29/2025 13:34,8/29/2025 13:35,anonymous,,Tuổi trẻ 4.0,rocky scopelliti,Kinh tế - Quản trị,nxb công thương
6,8/29/2025 13:18,8/29/2025 13:35,anonymous,,Mở lối tiên phong ,FPT,Other,NXB Thanh niên
7,8/29/2025 13:35,8/29/2025 13:36,anonymous,,do big things,angela v. paccione,Kỹ năng mềm,nxb lao động
8,8/29/2025 13:35,8/29/2025 13:36,anonymous,,Trở về không,Joe Vitale,Triết học - Tôn giáo - Tâm linh,NXB Thế Giới
9,8/29/2025 13:36,8/29/2025 13:36,anonymous,,Kỹ năng lập kế hoạch hiệu quả,shinamoto hidenori,Kỹ năng mềm,nxb thế giới
10,8/29/2025 13:36,8/29/2025 13:37,anonymous,,Mở Lối Tiên Phong ,FPT,Other,NXB Thanh Niên
11,8/29/2025 13:36,8/29/2025 13:37,anonymous,,Tâm Tĩnh Lặng,Christoper K. Germer,Tâm lý - Giáo dục,NXB Hà Nội
12,8/29/2025 13:36,8/29/2025 13:38,anonymous,,search inside yourself,chade meng tan,Kinh tế - Quản trị,nxb lao động
13,8/29/2025 13:34,8/29/2025 13:38,anonymous,,"7 CÂU HỎI ""THẦN KỲ"" CỦA MỌI SẾP GIỎI",MICHAEL BUNGAY STANIER,Kỹ năng mềm,NXB THẾ GIỚI
14,8/29/2025 13:34,8/29/2025 13:38,anonymous,,Bar blood máu bẩn ,John Carreyrou ,Kinh tế - Quản trị,Alphabooks
15,8/29/2025 13:18,8/29/2025 13:38,anonymous,,Đâu phải vì yêu,Debbie Macomber,Văn học - Tiểu thuyết,NXB Hội nhà văn
16,8/29/2025 13:33,8/29/2025 13:38,anonymous,,Mặc kệ thiên hạ Sống như người Nhật,Mari Tamagawa,Tâm lý - Giáo dục,Nhà xuất bản Hà Nội
17,8/29/2025 13:37,8/29/2025 13:38,anonymous,,Trăng Non,Stephenie Meyer,Văn học - Tiểu thuyết,NXB Trẻ
18,8/29/2025 13:38,8/29/2025 13:38,anonymous,,kỷ luật tích cực trong thực hành làm cha mẹ hàng ngày,joan e.durant,Kỹ năng mềm,nxb đồng nai
19,8/29/2025 13:38,8/29/2025 13:39,anonymous,,Mở Lối Tiên Phong,FPT,Other,NXB Thanh Niên
20,8/29/2025 13:38,8/29/2025 13:39,anonymous,,NÚI THIÊNG (LINH SƠN),CAO HÀNH KIỆN,Văn học - Tiểu thuyết,NXB VĂN HỌC
21,8/29/2025 13:38,8/29/2025 13:39,anonymous,,Nhật thực ,Stephenie Meyer,Văn học - Tiểu thuyết,NXB Trẻ
22,8/29/2025 13:39,8/29/2025 13:39,anonymous,,Tản Văn,Giả Bình Ao,Văn học - Tiểu thuyết,NXB văn học
23,8/29/2025 13:37,8/29/2025 13:39,anonymous,,Tôi không thích ồn ào,Ashley Davis Bush,Tâm lý - Giáo dục,NXB Hà Nội
24,8/29/2025 13:39,8/29/2025 13:39,anonymous,,Mở Lối Tiên Phong ,FPT,Other,NXB Thanh Niên
25,8/29/2025 13:39,8/29/2025 13:39,anonymous,,Kỹ năng quản lý cảm xúc,khánh ca,Kỹ năng mềm,nxb dân trí
26,8/29/2025 13:39,8/29/2025 13:40,anonymous,,Mở Lối Tiên Phong,FPT,Other,NXB Thanh Niên
27,8/29/2025 13:39,8/29/2025 13:40,anonymous,,Cuộc đời thứ hai của Bree Tanner,Stephenie Meyer,Văn học - Tiểu thuyết,NXB Trẻ
28,8/29/2025 13:17,8/29/2025 13:40,anonymous,,Software Engineering,Sommerville,Khoa học tự nhiên - Kỹ thuật,Addison Wesley
29,8/29/2025 13:40,8/29/2025 13:40,anonymous,,Mở Lối Tiên Phong ,FPT,Other,NXB Thanh Niên
30,8/29/2025 13:39,8/29/2025 13:41,anonymous,,2030,mauro f. guillen,Kinh tế - Quản trị,nxb thế giới
31,8/29/2025 13:39,8/29/2025 13:41,anonymous,,7AHA KHƠI SÁNG TINH THẦN & GIẢI TỎA STRESS,MIKE GEORGE,Tâm lý - Giáo dục,NXB TRẺ
32,8/29/2025 13:40,8/29/2025 13:41,anonymous,,Mở Lối Tiên Phong,FPT,Other,NXB Thanh Niên
33,8/29/2025 13:38,8/29/2025 13:41,anonymous,,Search Inside Yourself,Chade-Meng Tan,Kỹ năng mềm,NXB Lao Động
34,8/29/2025 13:39,8/29/2025 13:41,anonymous,,Bình pháp tôn tử,Tôn vũ ,Kỹ năng mềm,NXB Văn Học 
35,8/29/2025 13:39,8/29/2025 13:42,anonymous,,Tìm mình trong thế giới hậu tuổi thơ,Đặng Hoàng Giang,Pháp luật - Chính trị - Xã hội,NXB Hội Nhà Văn
36,8/29/2025 13:40,8/29/2025 13:42,anonymous,,Sự trỗi dậy và suy tàn của Đế chế thứ Ba - Lịch sử Đức Quốc Xã,William L.Shirer,Lịch sử - Địa lý,NXB thông tin và truyền thông
37,8/29/2025 13:41,8/29/2025 13:42,anonymous,,bạn là những gì bạn mong ước,jordanna levin,Tâm lý - Giáo dục,nxb thế giới
38,8/29/2025 13:41,8/29/2025 13:42,anonymous,,Mở Lối Tiên Phong,FPT,Other,NXB Thanh Niên
39,8/29/2025 13:40,8/29/2025 13:42,anonymous,,Software Engineering,Sommerville,Khoa học tự nhiên - Kỹ thuật,Addison Wesley
40,8/29/2025 13:34,8/29/2025 13:42,anonymous,,The Java tutorial continued the rest of the JDK,"Mary compione, kathy ưalrath, alison huml and the tutorial team",Khoa học tự nhiên - Kỹ thuật,Addision wesley
41,8/29/2025 13:42,8/29/2025 13:42,anonymous,,Bí quyết của thành công,David Niven ,Kỹ năng mềm,NXB trẻ
42,8/29/2025 13:42,8/29/2025 13:43,anonymous,,Software Engineering,Sommerville,Khoa học tự nhiên - Kỹ thuật,Addison Wesley
43,8/29/2025 13:42,8/29/2025 13:43,anonymous,,Mở Lối Tiên Phong,FPT,Other,NXB Thanh Niên
44,8/29/2025 13:42,8/29/2025 13:43,anonymous,,làm đĩ,vũ trọng phụng,Văn học - Tiểu thuyết,nxb văn học
45,8/29/2025 13:43,8/29/2025 13:43,anonymous,,Software Engineering,Sommerville,Khoa học tự nhiên - Kỹ thuật,Addison Wesley
46,8/29/2025 13:41,8/29/2025 13:43,anonymous,,PM chuyện tôi kể ,Fsoft,Kinh tế - Quản trị,Fsoft 
47,8/29/2025 13:43,8/29/2025 13:43,anonymous,,Mở Lối Tiên Phong,FPT,Other,NXB Thanh Niên
48,8/29/2025 13:43,8/29/2025 13:43,anonymous,,Software Engineering,Sommerville,Khoa học tự nhiên - Kỹ thuật,Addison Wesley
49,8/29/2025 13:42,8/29/2025 13:43,anonymous,,Đam mê bí quyết tạo thành công,"Stephen R.Covey , Jennifer Colosimo",Kỹ năng mềm,NXB trẻ
50,8/29/2025 13:43,8/29/2025 13:43,anonymous,,Software Engineering,Sommerville,Khoa học tự nhiên - Kỹ thuật,Addison Wesley
51,8/29/2025 13:43,8/29/2025 13:44,anonymous,,Mở Lối Tiên Phong,FPT,Other,NXB Thanh Niên
52,8/29/2025 13:43,8/29/2025 13:44,anonymous,,TRU TIÊN,TIÊU ĐỈNH,Văn học - Tiểu thuyết,NXB VĂN HÓA - THÔNG TIN
53,8/29/2025 13:44,8/29/2025 13:44,anonymous,,Software Engineering,Sommerville,Khoa học tự nhiên - Kỹ thuật,Addison Wesley
54,8/29/2025 13:43,8/29/2025 13:44,anonymous,,Dạy con làm giàu - tập x,rich dad’s,Kinh tế - Quản trị,nxb trẻ
