Id,TIÊU ĐỀ CỦA SÁCH?(Ví dụ: Nhà Giả Kim),TÊN TÁC GIẢ?(Ví dụ: Paulo Coelho),CHỦ ĐỀ?,NHÀ XUẤT BẢN?(Ví dụ: NXB văn học)
1,luyện cát thành vàng,Jonathan Yabut,Kỹ năng mềm,nxb hồng đức
2,luyện cát thành vàng,jonathan yabut,Kỹ năng mềm,nxb hồng đức
3,Bình tĩnh khi ế mạnh mẽ khi yêu,"Ellen fein, sherrie schneider",Tâm lý - Giáo dục,NXB phụ nữ
4,Thế giới phẳng,Thomas L.friedman,Lịch sử - Địa lý,Nhà xuất bản trẻ
5,Tuổi trẻ 4.0,rocky scopelliti,Kinh tế - Quản trị,nxb công thương
6,Mở lối tiên phong ,FPT,Other,NXB Thanh niên
7,do big things,angela v. paccione,Kỹ năng mềm,nxb lao động
8,Trở về không,Joe Vitale,Triết học - Tôn giáo - Tâm linh,NXB Thế Giới
9,Kỹ năng lập kế hoạch hiệu quả,shinamoto hidenori,Kỹ năng mềm,nxb thế giới
10,Mở Lối Tiên Phong ,FPT,Other,NXB Thanh Niên
11,Tâm Tĩnh Lặng,Christoper K. Germer,Tâm lý - Giáo dục,NXB Hà Nội
12,search inside yourself,chade meng tan,Kinh tế - Quản trị,nxb lao động
13,"7 CÂU HỎI ""THẦN KỲ"" CỦA MỌI SẾP GIỎI",MICHAEL BUNGAY STANIER,Kỹ năng mềm,NXB THẾ GIỚI
14,Bar blood máu bẩn ,John Carreyrou ,Kinh tế - Quản trị,Alphabooks
15,Đâu phải vì yêu,Debbie Macomber,Văn học - Tiểu thuyết,NXB Hội nhà văn
16,Mặc kệ thiên hạ Sống như người Nhật,Mari Tamagawa,Tâm lý - Giáo dục,Nhà xuất bản Hà Nội
17,Trăng Non,Stephenie Meyer,Văn học - Tiểu thuyết,NXB Trẻ
18,kỷ luật tích cực trong thực hành làm cha mẹ hàng ngày,joan e.durant,Kỹ năng mềm,nxb đồng nai
19,Mở Lối Tiên Phong,FPT,Other,NXB Thanh Niên
20,NÚI THIÊNG (LINH SƠN),CAO HÀNH KIỆN,Văn học - Tiểu thuyết,NXB VĂN HỌC
21,Nhật thực ,Stephenie Meyer,Văn học - Tiểu thuyết,NXB Trẻ
22,Tản Văn,Giả Bình Ao,Văn học - Tiểu thuyết,NXB văn học
23,Tôi không thích ồn ào,Ashley Davis Bush,Tâm lý - Giáo dục,NXB Hà Nội
24,Mở Lối Tiên Phong ,FPT,Other,NXB Thanh Niên
25,Kỹ năng quản lý cảm xúc,khánh ca,Kỹ năng mềm,nxb dân trí
26,Mở Lối Tiên Phong,FPT,Other,NXB Thanh Niên
27,Cuộc đời thứ hai của Bree Tanner,Stephenie Meyer,Văn học - Tiểu thuyết,NXB Trẻ
28,Software Engineering,Sommerville,Khoa học tự nhiên - Kỹ thuật,Addison Wesley
29,Mở Lối Tiên Phong ,FPT,Other,NXB Thanh Niên
30,2030,mauro f. guillen,Kinh tế - Quản trị,nxb thế giới
31,7AHA KHƠI SÁNG TINH THẦN & GIẢI TỎA STRESS,MIKE GEORGE,Tâm lý - Giáo dục,NXB TRẺ
32,Mở Lối Tiên Phong,FPT,Other,NXB Thanh Niên
33,Search Inside Yourself,Chade-Meng Tan,Kỹ năng mềm,NXB Lao Động
34,Bình pháp tôn tử,Tôn vũ ,Kỹ năng mềm,NXB Văn Học 
35,Tìm mình trong thế giới hậu tuổi thơ,Đặng Hoàng Giang,Pháp luật - Chính trị - Xã hội,NXB Hội Nhà Văn
36,Sự trỗi dậy và suy tàn của Đế chế thứ Ba - Lịch sử Đức Quốc Xã,William L.Shirer,Lịch sử - Địa lý,NXB thông tin và truyền thông
37,bạn là những gì bạn mong ước,jordanna levin,Tâm lý - Giáo dục,nxb thế giới
38,Mở Lối Tiên Phong,FPT,Other,NXB Thanh Niên
39,Software Engineering,Sommerville,Khoa học tự nhiên - Kỹ thuật,Addison Wesley
40,The Java tutorial continued the rest of the JDK,"Mary compione, kathy ưalrath, alison huml and the tutorial team",Khoa học tự nhiên - Kỹ thuật,Addision wesley
41,Bí quyết của thành công,David Niven ,Kỹ năng mềm,NXB trẻ
42,Software Engineering,Sommerville,Khoa học tự nhiên - Kỹ thuật,Addison Wesley
43,Mở Lối Tiên Phong,FPT,Other,NXB Thanh Niên
44,làm đĩ,vũ trọng phụng,Văn học - Tiểu thuyết,nxb văn học
45,Software Engineering,Sommerville,Khoa học tự nhiên - Kỹ thuật,Addison Wesley
46,PM chuyện tôi kể ,Fsoft,Kinh tế - Quản trị,Fsoft 
47,Mở Lối Tiên Phong,FPT,Other,NXB Thanh Niên
