code,title,author,category,publisher,quantity, coverImage
0hhhanna,FT1 - luyện cát thành vàng,Jonathan Yabut,Kỹ năng mềm,nxb hồng đức,2, https://cdn1.fahasa.com/media/catalog/product/i/m/image_182311.jpg
766fj2qz,FT1 - Bình tĩnh khi ế mạnh mẽ khi yêu,Ellen fein sherrie schneider,Tâm lý - Giáo dục,NXB phụ nữ,1
3n289w43,FT1 - Thế giới phẳng,Thomas L.friedman,Lịch sử - Địa lý,Nhà xuất bản trẻ,1
qzs42d8x,FT1 - Tuổi trẻ 4.0,rocky scopelliti,Kinh tế - Quản trị,nxb công thương,2
fc7y5esh,FT1 - Mở lối tiên phong,FPT,Other,NXB Thanh niên,11
9npvrw18,FT1 - do big things,angela v. paccione,Kỹ năng mềm,nxb lao động,1
nrlja2am,FT1 - Trở về không,Joe Vitale,Triết học - Tôn giáo - Tâm linh,NXB Thế Giới,1
zru8exqx,FT1 - Kỹ năng lập kế hoạch hiệu quả,shinamoto hidenori,Kỹ năng mềm,nxb thế giới,1
fjemktoa,FT1 - Tâm Tĩnh Lặng,Christoper K. Germer,Tâm lý - Giáo dục,NXB Hà Nội,1
sb8o6cnm,FT1 - search inside yourself,chade meng tan,Kinh tế - Quản trị,nxb lao động,2
sb8o6cnx,FT1 - 7 CÂU HỎI THẦN KỲ CỦA MỌI SẾP GIỎI,MICHAEL BUNGAY STANIER,Kỹ năng mềm,NXB THẾ GIỚI,2
ng3u8z59,FT1 - Bar blood máu bẩn,John Carreyrou,Kinh tế - Quản trị,Alphabooks,1
rqpjdqb3,FT1 - Đâu phải vì yêu,Debbie Macomber,Văn học - Tiểu thuyết,NXB Hội nhà văn,1
b9ki6wsv,FT1 - Mặc kệ thiên hạ Sống như người Nhật,Mari Tamagawa,Tâm lý - Giáo dục,Nhà xuất bản Hà Nội,1
bs9qqpu7,FT1 - Trăng Non,Stephenie Meyer,Văn học - Tiểu thuyết,NXB Trẻ,1
32o58f1n,FT1 - kỷ luật tích cực trong thực hành làm cha mẹ hàng ngày,joan e.durant,Kỹ năng mềm,nxb đồng nai,1
5tds9aao,FT1 - NÚI THIÊNG (LINH SƠN),CAO HÀNH KIỆN,Văn học - Tiểu thuyết,NXB VĂN HỌC,1
6ip6o8wv,FT1 - Nhật thực,Stephenie Meyer,Văn học - Tiểu thuyết,NXB Trẻ,1
5s2hi4yi,FT1 - Tản Văn,Giả Bình Ao,Văn học - Tiểu thuyết,NXB văn học,1
g82qrvnw,FT1 - Tôi không thích ồn ào,Ashley Davis Bush,Tâm lý - Giáo dục,NXB Hà Nội,1
enx5o8rg,FT1 - Kỹ năng quản lý cảm xúc,khánh ca,Kỹ năng mềm,nxb dân trí,1
07xxbyt6,FT1 - Cuộc đời thứ hai của Bree Tanner,Stephenie Meyer,Văn học - Tiểu thuyết,NXB Trẻ,1
6zy5syae,FT1 - Software Engineering,Sommerville,Khoa học tự nhiên - Kỹ thuật,Addison Wesley,17
hdgps95w,FT1 - 2030,mauro f. guillen,Kinh tế - Quản trị,nxb thế giới,1
t5vsw4w4,FT1 - 7AHA KHƠI SÁNG TINH THẦN & GIẢI TỎA STRESS,MIKE GEORGE,Tâm lý - Giáo dục,NXB TRẺ,1
zg4m39ma,FT1 - Bình pháp tôn tử,Tôn vũ,Kỹ năng mềm,NXB Văn Học,1
g5wx1mhy,FT1 - Tìm mình trong thế giới hậu tuổi thơ,Đặng Hoàng Giang,Pháp luật - Chính trị - Xã hội,NXB Hội Nhà Văn,1
zi31fjig,FT1 - Sự trỗi dậy và suy tàn của Đế chế thứ Ba - Lịch sử Đức Quốc Xã,William L.Shirer,Lịch sử - Địa lý,NXB thông tin và truyền thông,1
4rdx7x3n,FT1 - bạn là những gì bạn mong ước,jordanna levin,Tâm lý - Giáo dục,nxb thế giới,1
4rdx7x3b,FT1 - The Java tutorial continued the rest of the JDK,Mary compione kathy ưalrath alison huml and the tutorial team,Khoa học tự nhiên - Kỹ thuật,Addision wesley,1
w72vyfic,FT1 - Bí quyết của thành công,David Niven,Kỹ năng mềm,NXB trẻ,1
kp2r7big,FT1 - làm đĩ,vũ trọng phụng,Văn học - Tiểu thuyết,nxb văn học,1
r5pgispo,FT1 - PM chuyện tôi kể,Fsoft,Kinh tế - Quản trị,Fsoft,1
r5pgispj,FT1 - Đam mê bí quyết tạo thành công,Stephen R.Covey Jennifer Colosimo,Kỹ năng mềm,NXB trẻ,1
iiywivwd,FT1 - TRU TIÊN,TIÊU ĐỈNH,Văn học - Tiểu thuyết,NXB VĂN HÓA - THÔNG TIN,1
vl0ggjzb,FT1 - Dạy con làm giàu - tập x,rich dad’s,Kinh tế - Quản trị,nxb trẻ,1
20y97ou8,FT1 - Thần Thái Uy Nghi Dẫu Quỳ Vẫn Oai,Oopsy,Kỹ năng mềm,NXB Phụ Nữ,1
2komha1o,FT1 - Thái độ quyết định thành công,Wayne Cordeiro,Tâm lý - Giáo dục,NXB tổng hợp TP HCM,1
n9s9rjd9,FT1 - dạy con làm giàu - tập 9,Robert T.Kiyosaki,Kinh tế - Quản trị,nxb trẻ,1
f1i1bjmb,FT1 - Đùng lựa chọn an nhàn khi còn trẻ,Cảnh Thiên,Kỹ năng mềm,NXB Thế Giới,1
5i9z5ix7,FT1 - Nhà lãnh đạo kim cương - 7 bước xây dựng đội ngũ tài năng giúp doanh nghiệp tăng 300% lợi nhuận,Michelle Nguyen,Kỹ năng mềm,NXB thế giới,2
wuolsa4d,FT1 - Sherlock Holmes 1: Chiếc nhẫn tình cờ,Conan Doyle,Văn học - Tiểu thuyết,NXB Công An Nhân Dân,1
wuolsa4y,FT1 - Buổi sáng diệu kỳ,Hal Elrod Pat Petrini,Kỹ năng mềm,NXB Lao động,1
o6okajeb,FT1 - Bí quyết gây dựng cơ nghiệp bạc tỷ,Adam Khoo,Kỹ năng mềm,NXB phụ nữ,1
